id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tag,instrumentalness,vocal_presence,brightness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,88,2020,euphoric,0.12,0.93,0.82
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,54,2010,dreamy,0.88,0.22,0.38
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,79,2010,aggressive,0.18,0.88,0.74
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,46,2000,nostalgic,0.91,0.18,0.31
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,92,2020,aggressive,0.08,0.95,0.86
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,41,1980,dreamy,0.97,0.12,0.28
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,63,1990,warm,0.76,0.54,0.52
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,74,1980,nostalgic,0.42,0.69,0.44
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,57,2010,instrumental,0.94,0.16,0.33
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,86,2010,euphoric,0.18,0.91,0.79
